"Plot" "Species" "Height" "SLA"
"2366" 40 "Bel_tri" 23 24.81656805
"2367" 40 "Bel_tri" 41.5 20.43715847
"2368" 40 "Bel_tri" 34 28.56547123
"2369" 40 "Bel_tri" 31.5 21.85754986
"2370" 40 "Bis_pel" 8 45.05300353
"2371" 40 "Bis_pel" 8.8 28.63507109
"2372" 40 "Bis_pel" 12.5 30.7424072
"2373" 40 "Bis_pel" 9.2 36.68430335
"2374" 40 "Bis_pel" 14.3 36.28200079
"2375" 40 "Bis_pel" 8 27.31778426
"2376" 40 "Bis_pel" 9.5 25.10980966
"2377" 40 "Bis_pel" 6.2 33.14987299
"2378" 40 "Bis_pel" 6.3 42.41830065
"2379" 40 "Bis_pel" 16.4 36.121673
"2380" 40 "Ech_pla" 18.6 19.39090909
"2381" 40 "Ech_pla" 33 21.55161495
"2382" 40 "Ech_pla" 32 22.51113811
"2383" 40 "Ech_pla" 30 20.26634383
"2384" 40 "Ech_pla" 25.5 21.52542373
"2385" 40 "Ech_pla" 29.2 22.44909831
"2386" 40 "Ech_pla" 31.5 22.953149
"2387" 40 "Ech_pla" 34 23.73515439
"2388" 40 "Ech_pla" 39 21.17907148
"2389" 40 "Ech_pla" 15.7 23.82428941
