name,nomenclature,synonym,family,group,legal,rlg,rlb,neophyte,sociology
Poa pratensis,http://www.worldfloraonline.org/taxon/wfo-0000893396,na,Poaceae,sub-grass,NA,NA,NA,no,5400
Poa trivialis,http://www.worldfloraonline.org/taxon/wfo-0000894135,na,Poaceae,sub-grass,NA,NA,NA,no,5400
Polygala amarella,http://www.worldfloraonline.org/taxon/wfo-0000484045,na,Polygalaceae,herb,NA,V,NA,no,NA
Polygala vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000488110,na,Polygalaceae,herb,NA,V,NA,no,5112
Polygonatum multiflorum,http://www.worldfloraonline.org/taxon/wfo-0000716086,na,Asparagaceae,herb,NA,NA,NA,no,8430
Polygonum aviculare,http://www.worldfloraonline.org/taxon/wfo-0000489656,na,Polygonaceae,herb,NA,NA,NA,no,3711
Potentilla anserina,http://www.worldfloraonline.org/taxon/wfo-0001016615,na,Rosaceae,herb,NA,NA,NA,no,3811
Potentilla argentea,http://www.worldfloraonline.org/taxon/wfo-0001016312,na,Rosaceae,herb,NA,NA,NA,no,5200
Potentilla grandiflora,http://www.worldfloraonline.org/taxon/wfo-0000983686,Potentilla_verna,Rosaceae,herb,NA,V,NA,no,5114
Potentilla recta,http://www.worldfloraonline.org/taxon/wfo-0000983388,na,Rosaceae,herb,NA,NA,NA,no,5200
Potentilla reptans,http://www.worldfloraonline.org/taxon/wfo-0001011690,na,Rosaceae,herb,NA,NA,NA,no,3811
Prunella vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000283746,na,Lamiaceae,herb,NA,NA,NA,no,5400
Quercus robur,http://www.worldfloraonline.org/taxon/wfo-0000292858,NA,Fagaceae,tree,NA,NA,NA,no,0
Ranunculus acris,http://www.worldfloraonline.org/taxon/wfo-0000461396,na,Ranunculaceae,herb,NA,NA,NA,no,5400
Ranunculus bulbosus,http://www.worldfloraonline.org/taxon/wfo-0000461562,na,Ranunculaceae,herb,NA,NA,NA,no,5322
Ranunculus repens,http://www.worldfloraonline.org/taxon/wfo-0000463198,na,Ranunculaceae,herb,NA,NA,NA,no,NA
Ranunculus serpens ssp nemorosus,http://www.worldfloraonline.org/taxon/wfo-0000462219,Ranunculus_nemorosus,Ranunculaceae,herb,NA,V,NA,no,NA
Ranunculus,http://www.worldfloraonline.org/taxon/wfo-4000032540,NA,Ranunculaceae,herb,NA,NA,NA,NA,NA
Reseda lutea,http://www.worldfloraonline.org/taxon/wfo-0000462651,na,Resedaceae,herb,NA,NA,NA,no,3540
Rhinanthus alectorolophus,http://www.worldfloraonline.org/taxon/wfo-0000463700,na,Orobanchaceae,hemiparasite,NA,NA,NA,no,NA
Rhinanthus glacialis,http://www.worldfloraonline.org/taxon/wfo-0001138801,na,Orobanchaceae,hemiparasite,NA,V,NA,no,5111
Rhinanthus minor,http://www.worldfloraonline.org/taxon/wfo-0000747233,na,Orobanchaceae,hemiparasite,NA,NA,NA,no,5400
Rhinanthus serotinus,http://www.worldfloraonline.org/taxon/wfo-0000464097,na,Orobanchaceae,hemiparasite,NA,3,NA,no,NA
Rosa canina,http://www.worldfloraonline.org/taxon/wfo-0001005999,na,Rosaceae,halfshrub,NA,NA,NA,no,8440
Rubus caesius,http://www.worldfloraonline.org/taxon/wfo-0001017340,na,Rosaceae,halfshrub,NA,NA,NA,no,NA
Rubus fruticosus,http://www.worldfloraonline.org/taxon/wfo-0000984598,na,Rosaceae,halfshrub,NA,NA,NA,no,8000
Rumex acetosa,http://www.worldfloraonline.org/taxon/wfo-0000403595,na,Polygonaceae,herb,NA,NA,NA,no,5400
