species	veget	PH	TLA	SM	SLA	SLS	LH	P	LS	CGO	BB.D	BB.S
Trifolium_montanum	1	0.2775	1607.5	0.735666667	19.905	1	pnc	NA	NA	NA	8.8	39.28571429
Trollius_altissimus	3	0.2775	5348.333333	0.885683333	22.5914864	2	pc	3.333333334	0.005	1.833333335	4.636363636	18.33333333
Valeriana_stolonifera	1	0.5275	NA	NA	NA	NA	pnc	NA	NA	NA	NA	NA
Veratrum_album_ssp._lobelianum	1	0.9875	NA	3.38	NA	2	pc	3.5	0.005	0.7	5.411764706	17
Verbascum_blattaria	1	0.7275	NA	NA	NA	2	a	NA	NA	NA	4.333333333	15
Verbascum_chaixii_ssp._austriacum	1	0.95	NA	NA	NA	NA	pnc	NA	NA	NA	NA	NA
Verbascum_phlomoides	1	0.98875	5247	0.1793	18.8	2	a	NA	NA	NA	3.5	10
Verbena_officinalis	4	0.361875	377.25	0.415	14.2	1	pnc	NA	NA	NA	4.333333334	15.00000001
Vicia_cassubica	4	0.45	3256.87	47.097	22.74	1	pc	4	0.0675	0	4.333333333	15
Vicia_cracca	4	0.881666667	971.5	17.76195	25.4589971	1	pc	4	0.22	6	6.086956523	23
Vincetoxicum_hirundinaria	3	0.75	1513.5	6.985	53.6	1	pc	4	0.005	2.666666665	4.75	20
Viola_tricolor	1	0.25	440.5	0.801133333	27.0675	1	NA	NA	NA	NA	2.249999999	6.666666665
