name,nomenclature,synonym,family,group,legal,rlg,rlb,neophyte,sociology,l,t,k,f,fchange,r,n
Juglans_regia,http://www.worldfloraonline.org/taxon/wfo-0000355051,NA,Juglandaceae,tree,NA,NA,NA,no,0,6,8,2,6,NA,7,7
Knautia_arvensis,http://www.worldfloraonline.org/taxon/wfo-0000356720,na,Caprifoliaceae,herb,NA,NA,NA,no,5420,7,6,3,4,NA,NA,4
Koeleria_pyramidata,http://www.worldfloraonline.org/taxon/wfo-0000877284,na,Poaceae,sub-grass,NA,V,NA,no,5320,7,6,4,4,NA,7,2
Lactuca_serriola,http://www.worldfloraonline.org/taxon/wfo-0000015140,na,Asteraceae,herb,NA,NA,NA,no,3000,9,7,7,4,NA,NA,4
Lathyrus_pratensis,http://www.worldfloraonline.org/taxon/wfo-0000212701,na,Fabaceae,legume,NA,NA,NA,no,5400,7,5,NA,6,NA,7,6
Lathyrus_sylvestris,http://www.worldfloraonline.org/taxon/wfo-0000213824,na,Fabaceae,legume,NA,NA,NA,no,6110,7,6,4,4,NA,8,2
Leontodon_hispidus,http://www.worldfloraonline.org/taxon/wfo-0000018147,na,Asteraceae,herb,NA,NA,NA,no,5000,8,NA,3,5,NA,7,6
Lepidium_ruderale,http://www.worldfloraonline.org/taxon/wfo-0000358755,na,Brassicaceae,herb,NA,NA,NA,no,3711,9,6,7,4,NA,NA,6
Leucanthemum_vulgare,http://www.worldfloraonline.org/taxon/wfo-0000036932,na,Asteraceae,herb,NA,NA,NA,no,5420,7,NA,3,4,NA,NA,3
Linaria_vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000446438,na,Plantaginaceae,herb,NA,NA,NA,no,3540,8,6,5,4,NA,7,5
Linum_catharticum,http://www.worldfloraonline.org/taxon/wfo-0000363831,na,Linaceae,herb,BG,NA,NA,no,5410,7,NA,3,NA,NA,7,2
Lolium_perenne,http://www.worldfloraonline.org/taxon/wfo-0000878441,na,Poaceae,sub-grass,NA,NA,NA,no,5423,8,6,3,5,NA,7,7
Lotus_corniculatus,http://www.worldfloraonline.org/taxon/wfo-0000212180,na,Fabaceae,legume,NA,NA,NA,no,5000,7,NA,3,4,NA,7,3
Lysimachia_nummularia,http://www.worldfloraonline.org/taxon/wfo-0000442792,na,Primulaceae,herb,NA,NA,NA,no,NA,4,6,4,6,1,NA,NA
Lysimachia_vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000442301,na,Primulaceae,herb,NA,NA,NA,no,NA,6,NA,NA,8,1,NA,NA
Malva_moschata,http://www.worldfloraonline.org/taxon/wfo-0000449199,na,Malvaceae,herb,NA,NA,3,no,5421,8,6,3,4,NA,7,4
Matricaria_chamomilla,http://www.worldfloraonline.org/taxon/wfo-0000003146,na,Asteraceae,herb,NA,NA,NA,no,3421,7,6,5,5,NA,5,5
Medicago_falcata,http://www.worldfloraonline.org/taxon/wfo-0000213426,na,Fabaceae,legume,NA,NA,NA,no,6112,8,6,7,3,NA,9,3
Medicago_lupulina,http://www.worldfloraonline.org/taxon/wfo-0000213454,na,Fabaceae,legume,NA,NA,NA,no,5322,7,5,NA,4,NA,8,NA
Medicago_minima,http://www.worldfloraonline.org/taxon/wfo-0000185370,na,Fabaceae,legume,NA,V,NA,no,NA,9,7,3,3,NA,8,2
Medicago_sativa,http://www.worldfloraonline.org/taxon/wfo-0000213468,na,Fabaceae,legume,NA,NA,NA,yes,NA,8,6,6,4,NA,7,NA
Melilotus_officinalis,http://www.worldfloraonline.org/taxon/wfo-0000213864,na,Fabaceae,legume,NA,NA,NA,no,3542,8,6,6,3,NA,8,3
Mentha_longifolia,http://www.worldfloraonline.org/taxon/wfo-0000240918,na,Lamiaceae,herb,NA,NA,NA,no,3811,7,5,4,8,2,9,7
Mentha_spicata,http://www.worldfloraonline.org/taxon/wfo-0000241390,NA,Lamiaceae,herb,NA,NA,NA,yes,0,NA,NA,NA,NA,NA,NA,NA
Myosotis_arvensis,http://www.worldfloraonline.org/taxon/wfo-0000367842,na,Boraginaceae,herb,NA,NA,NA,no,3400,6,6,5,5,NA,NA,6
Nardus_stricta,http://www.worldfloraonline.org/taxon/wfo-0000881131,na,Poaceae,sub-grass,NA,V,NA,no,5110,8,NA,3,NA,1,2,2
Oenothera_biennis,http://www.worldfloraonline.org/taxon/wfo-0000389564,na,Onagraceae,herb,NA,NA,NA,yes,3542,9,7,3,4,NA,NA,4
Onobrychis_viciifolia,http://www.worldfloraonline.org/taxon/wfo-0000205013,na,Fabaceae,legume,NA,NA,NA,yes,5322,8,7,6,3,NA,8,3
Ononis_spinosa,http://www.worldfloraonline.org/taxon/wfo-0000183372,na,Fabaceae,legume,NA,NA,NA,no,5322,8,6,5,4,1,7,3
Ononis_spinosa_ssp_procurrens,http://www.worldfloraonline.org/taxon/wfo-0000186975,Ononis_repens,Fabaceae,legume,NA,NA,NA,no,5322,8,5,2,4,1,7,2
Origanum_vulgare,http://www.worldfloraonline.org/taxon/wfo-0000260765,na,Lamiaceae,herb,NA,NA,NA,no,6110,7,NA,3,3,NA,8,3
Orobanche,http://www.worldfloraonline.org/taxon/wfo-4000027206,na,Orobanchaceae,parasite,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA
Papaver_rhoeas,http://www.worldfloraonline.org/taxon/wfo-0000481006,na,Papaveraceae,herb,NA,NA,NA,no,3400,6,6,3,5,NA,7,6
