"sla" "height" "sm" "log_sla" "log_height" "log_sm"
"Verbena officinalis" 14.2 0.36375 0.389 2.65324196460721 -1.01128846049643 -0.944175935363691
"Marrubium vulgare" 14.2 0.4 1.0049 2.65324196460721 -0.916290731874155 0.00488803407277587
"Lonicera periclymenum" 14.2 4.5 6.054681633 2.65324196460721 1.50407739677627 1.80083179643197
"Onopordum acanthium" 14.25 1.02 11.874 2.65675690671466 0.0198026272961797 2.47435113584848
"Sagina maritima" 14.3 0.095 0.04769 2.66025953726586 -2.3538783873816 -3.043033546672
"Leucanthemum ircutianum" 14.34 0.44 NA 2.66305283517147 -0.82098055206983 NA
"Juncus gerardii" 14.36 0.325 0.033929775 2.66444656362008 -1.1239300966524 -3.38346233150772
"Aster lanceolatus" 14.3665 0.875 0.45 2.66489910744623 -0.133531392624523 -0.798507696217772
"Carex disticha" 14.37 0.425 0.7609 2.66514270009093 -0.85566611005772 -0.27325333579966
"Asplenium septentrionale" 14.39 0.115 NA 2.66653352089928 -2.16282315061889 NA
"Rubus fruticosus agg." 14.41666667 1.563333333 2.386666667 2.66838494494099 0.446820293576859 0.869897692444109
"Sorbus aucuparia" 14.44836705 12.75 121.4390444 2.67058140125226 2.54553127160443 4.7994124447099
"Echium vulgare" 14.45 0.433333333 2.959325 2.67069441455844 -0.836248024969849 1.08496120179023
"Campanula sibirica" 14.46622642 0.2 0.062 2.67181672017796 -1.6094379124341 -2.78062089393705
"Vaccinium uliginosum" 14.48415966 0.29 43.02708 2.67305561504065 -1.23787435600162 3.76182968491512
"Helleborus foetidus" 14.50214234 0.3375 11.3584 2.67429638609914 -1.08618976866955 2.42995755830298
"Puccinellia capillaris" 14.51 NA 0.2225 2.6748380668961 NA -1.50282817737584
"Cytisus scoparius" 14.53333333 1.05 7.397333333 2.67644486145752 0.048790164169432 2.0011195748593
"Populus tremula" 14.5342103 19.5 0.1 2.67650520160951 2.9704144655697 -2.30258509299405
"Acer campestre" 14.53666667 13.42142857 54.34828235 2.67667419341587 2.59685257669772 3.99541300957196
"Juglans regia" 14.6 15 4753 2.68102152871429 2.70805020110221 8.46653127661401
"X Festulolium loliaceum" 14.6 NA NA 2.68102152871429 NA NA
"Oenanthe lachenalii" 14.62 1 1.508857143 2.68239045432163 0 0.411352505324107
"Euonymus europaea" 14.63556863 3.416666667 52.1392 2.68345477350589 1.22866541701387 3.95391706508116
"Nymphaea alba" 14.7 0.03 1.901818182 2.68784749378469 -3.50655789731998 0.642810366493954
"Juncus compressus" 14.7 0.225 0.013977778 2.68784749378469 -1.49165487677772 -4.27028649615377
"Castanea sativa" 14.7 30 2891.920805 2.68784749378469 3.40119738166216 7.96967619874049
"Luzula alpinopilosa" 14.706 0.2 0.267333333 2.68825557377403 -1.6094379124341 -1.31925896103062
"Helianthemum nummularium" 14.70769231 0.114 1.090727273 2.68837064331267 -2.17155683058764 0.0868446966825724
"Deschampsia cespitosa" 14.72194599 0.4325 0.211112281 2.68933930497063 -0.838172952610203 -1.55536514960023
"Alnus glutinosa" 14.75623708 14.33333333 2.3111 2.6916658462901 2.66258782679289 0.837723601667188
"Trapa natans" 14.765 0.02 NA 2.69225951519589 -3.91202300542815 NA
"Senecio erucifolius" 14.76666667 0.675 0.249166667 2.69237238860871 -0.393042588109607 -1.38963326104761
"Potentilla alba" 14.78 0.125 0.6 2.69327491552006 -2.07944154167984 -0.510825623765991
"Saxifraga oppositifolia" 14.8 0.14 0.111777778 2.69462718077007 -1.96611285637283 -2.1912425036706
"Festuca ovina" 14.8045 0.1525 0.435720879 2.69493118860906 -1.88059068293467 -0.830753426419335
